supplier,folio,item,amount,decision,source,top1_score,predicted,top3,accountant_categories,top1_matches_ledger,doc_has_single_account
BANCO BICE,3840524,Renta de Arrendamiento Nº18 del contrato Nº34431-1,2137633,auto_accept,model,0.9867,EXP-15.8,EXP-15.8|EXP-15.4|ADM-1.5,|?DEUDAS LEASING LARGO PLAZO,False,True
DORIS IVONNE CASTILLO KANTER,264386,TOMACORRIENTE EMPO DOBLE 16APC BLANCA UYU TMA6162CL -@,2107,review_required,model,0.5061,EXP-14.3,EXP-14.3|EXP-14.4|EXP-14.2,EXP-14.4,False,True
DORIS IVONNE CASTILLO KANTER,264386,CAJA CHUQUI CANAL Y TUBO HOFFENS 51581 -@,957,review_required,model,0.4243,EXP-14.3,EXP-14.3|EXP-14.4|EXP-14.2,EXP-14.4,False,True
BETHEL ELECTROMECANICA SPA,22,MANTENCION G.E. 22 KVA,440000,review_required,model,0.2993,EXP-13.1,EXP-13.1|EXP-13.3|EXP-14.4,EXP-14.4,False,True
COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,30731397,SALFORT PASTOREO X 25 KG,222000,auto_accept,product_lookup,1,EXP-2.4,EXP-2.4,EXP-2.4,True,True
COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,30167804,CANDADOS # 360,34990,auto_accept,product_lookup,1,EXP-16.2,EXP-16.2,EXP-16.2,True,True
SOC DE INVER LAGO RANCO SPA,77689,Gasolina 93 octanos sin plomo,87659,review_required,model,0.5258,EXP-11.4,EXP-11.4|ADM-1.4|EXP-16.2,EXP-11.4,True,True
SERVICIOS FABIAN ROLDAN SPA,8,Mantención cercos Maiten,445000,review_required,model,0.3744,EXP-14.1,EXP-14.1|EXP-10.4|EXP-10.1,EXP-14.2,False,True
SERVICIOS FABIAN ROLDAN SPA,8,Mantención cercos Raices,623000,review_required,model,0.2941,EXP-14.1,EXP-14.1|EXP-9.2|EXP-10.4,EXP-14.2,False,True
SERVICIOS FABIAN ROLDAN SPA,8,Mantención cercos Tineo,594000,review_required,model,0.4684,EXP-14.1,EXP-14.1|EXP-13.3|EXP-10.4,EXP-14.2,False,True
NUEVOS AIRES SPA,612,PROMO SPLIT MIDEA COMFEE 12 BTU INVERTER R 32,420084,review_required,model,0.1999,ADM-1.5,ADM-1.5|ADM-1.6|EXP-13.3,EXP-14.4,False,True
COOPERATIVA AGRICOLA Y LECHERA DE LA UNI,30614512,GASOLINA 93,26448,review_required,model,0.6368,ADM-1.4,ADM-1.4|EXP-11.4|EXP-16.2,EXP-11.4,False,True
ARTE E IMPRESIÓN ELISUR LIMITADA,8229,Tazones,49400,review_required,model,0.2629,EXP-2.6,EXP-2.6|ADM-1.6|EXP-2.2,EXP-1.1,False,True
DIRECTV Chile Televisión Limitada,3068270,Programación Principal,35000,review_required,model,0.9851,ADM-1.2,ADM-1.2|EXP-13.1|EXP-8.1,ADM-1.2,True,True
DIRECTV Chile Televisión Limitada,3068270,Programación Premiums,0,review_required,model,0.9903,ADM-1.2,ADM-1.2|ADM-1.5|EXP-9.1,ADM-1.2,True,True
DIRECTV Chile Televisión Limitada,3068270,Decodificadores Adicionales,0,review_required,model,0.967,ADM-1.2,ADM-1.2|EXP-12.1|EXP-3.1,ADM-1.2,True,True
DIRECTV Chile Televisión Limitada,3068270,Otros Cargos,1920,auto_accept,model,0.9689,ADM-1.2,ADM-1.2|ADM-1.4|EXP-11.1,ADM-1.2,True,True
COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,158354,SAL MIN COOPRINSEM ANIONICA 25 kG,20880,review_required,model,0.31,EXP-2.4,EXP-2.4|EXP-8.4|EXP-5.5,EXP-2.4,True,True
