Time,Status,Model/creator,Provider,Cost,Input,Cache Read,Cache Write,Reasoning,Output,Video Count,Video Duration (s),Video Resolution,Video Aspect Ratio,Video FPS,Duration (ms),Billed by
2026-09-21 19:15:34,200,anthropic/claude-sonnet-5,claudeaws,0.0619562,2,78911,5024,2047,1314,0,0,,,0,30128,AI Gateway
2026-09-21 19:15:29,200,anthropic/claude-sonnet-5,claudeaws,0.0923128,2,89269,15790,454,3044,0,0,,,0,28187,AI Gateway
2026-09-21 19:15:21,200,anthropic/claude-sonnet-5,claudeaws,0.0321416,2,85363,3906,402,128,0,0,,,0,6920,AI Gateway
2026-09-21 19:15:14,200,anthropic/claude-sonnet-5,claudeaws,0.1023202,2,86381,11584,1201,4407,0,0,,,0,45159,AI Gateway
2026-09-21 19:15:09,200,anthropic/claude-sonnet-5,claudeaws,0.0788029,2,62857,8771,943,3487,0,0,,,0,35330,AI Gateway
2026-09-21 19:14:54,200,anthropic/claude-sonnet-5,claudeaws,0.0786333,2,73334,5577,1395,3607,0,0,,,0,38945,AI Gateway
2026-09-21 19:14:49,200,anthropic/claude-sonnet-5,claudeaws,0.0935216,2,69013,16350,534,3350,0,0,,,0,31684,AI Gateway
2026-09-21 19:14:07,200,anthropic/claude-sonnet-5,claudeaws,0.0783061,2,68123,5211,1543,3622,0,0,,,0,45380,AI Gateway
2026-09-21 19:13:50,200,anthropic/claude-sonnet-5,claudeaws,0.0964273,2,62304,553,4818,3440,0,0,,,0,78197,AI Gateway
2026-09-21 19:13:41,200,anthropic/claude-sonnet-5,claudeaws,0.0235436,2,59748,2556,373,147,0,0,,,0,6827,AI Gateway
2026-09-21 19:13:31,200,anthropic/claude-sonnet-5,claudeaws,0.0247095,2,56815,2933,454,147,0,0,,,0,7954,AI Gateway
2026-09-21 19:13:31,200,anthropic/claude-sonnet-5,claudeaws,0.1922477,2,57756,28625,6580,4333,0,0,,,0,100985,AI Gateway
