row_id,source_file,period,folio,nro_lin_det,direction,item_text,description,provider,amount,unit_price,audit_rationale
96,DTE_033_000000006480_768318301.xml,2025-01,6480,2,COMPRAS,Comentarios:,Comentarios:,AUTOMOTRIZ TECNOCID LIMITADA,0,,comments_header
110,DTE_033_000000017084_766379990.xml,2025-01,17084,2,COMPRAS,ENTREGA INMEDIATA&#46; SALVO VENTA PREVIA,&#45;&#45;&#45;&#45; CANCELADA TRANSFERENCIA 23&#45;01&#45;2025,ENTRE RIEGOS DEL SUR SPA,0,,delivery_payment_note
287,DTE_033_000000365765_801251005.xml,2025-01,365765,2,COMPRAS,Segun Guias,"G0371619,",BOTTAI S.A.,0,,delivery_reference
298,DTE_033_000000551719_969183005.xml,2025-01,551719,2,COMPRAS,FORD F150 LARIAT TBZL-91 41264 03/01/2025 14:58 725197,A@FORD F150 LARIAT TBZL-91 41264 03/01/2025 14:58 725197,DIFOR CHILE S.A.,0,,vehicle_work_order_metadata
299,DTE_033_000000551719_969183005.xml,2025-01,551719,3,COMPRAS,--------------------------------------------------------------------------------,A@---------------------------------------------------------------------------------,DIFOR CHILE S.A.,0,,separator
300,DTE_033_000000551719_969183005.xml,2025-01,551719,4,COMPRAS,CODIGO DESCRIPCION,A@CODIGO DESCRIPCION,DIFOR CHILE S.A.,0,,printed_column_header
301,DTE_033_000000551719_969183005.xml,2025-01,551719,5,COMPRAS,--------------------------------------------------------------------------------,A@---------------------------------------------------------------------------------,DIFOR CHILE S.A.,0,,separator
303,DTE_033_000000551719_969183005.xml,2025-01,551719,7,COMPRAS,SCO-MO REVISAR FUNCIONAMIENTO DEL SISTEMA OPERA,A@SCO-MO REVISAR FUNCIONAMIENTO DEL SISTEMA OPERA,DIFOR CHILE S.A.,0,,workshop_request_note
304,DTE_033_000000551719_969183005.xml,2025-01,551719,8,COMPRAS,--------------------------Valores Netos con Descto. Incluido--------------------,A@--------------------------Valores Netos con Descto. Incluido--------------------,DIFOR CHILE S.A.,0,,printed_totals_header
305,DTE_033_000000551719_969183005.xml,2025-01,551719,9,COMPRAS,MO elec Mec Repuestos Accesorios Servicios Lubricacion,AUTO2@MO elec Mec Repuestos Accesorios Servicios Lubricacion,DIFOR CHILE S.A.,0,,printed_service_columns
306,DTE_033_000000551719_969183005.xml,2025-01,551719,10,COMPRAS,--------------------------------------------------------------------------------,2@--------------------------------------------------------------------------------,DIFOR CHILE S.A.,0,,separator
307,DTE_033_000000551719_969183005.xml,2025-01,551719,11,COMPRAS,248625 70154 9747 2071 87713,2@248625 70154 9747 2071 87713,DIFOR CHILE S.A.,0,,printed_numeric_summary
308,DTE_033_000000551719_969183005.xml,2025-01,551719,12,COMPRAS,VIM : undefined,2@VIM : undefined,DIFOR CHILE S.A.,0,,broken_template_field
309,DTE_033_000000551719_969183005.xml,2025-01,551719,13,COMPRAS,Taller Ford Osorno.,2@Taller Ford Osorno.,DIFOR CHILE S.A.,0,,workshop_footer
