gold_id,truth,prediction,model_prediction,gold_source,source,decision,reason,correct,model_prediction_correct,top1,margin,direction,item_text,description,provider,lookup_conflict,top3,model_text,guard_reason,counterfactual_model_decision,counterfactual_model_reason
SA-00687,ADM-1.10,EXP-14.1,EXP-14.1,file_audit,model,review_required,low_confidence,False,False,0.4112752377986908,0.29235831648111343,COMPRAS,CRECE ANUAL,20% DCTO PARTNER PROMOTOR NIVEL ENTRANTE - OREGON CONSULTING,CHIPAX SPA,False,EXP-14.1;ADM-1.5;EXP-13.2,[COMPRAS] | CRECE ANUAL | 20% DCTO PARTNER PROMOTOR NIVEL ENTRANTE - OREGON CONSULTING | CHIPAX SPA,,review_required,low_confidence
SA-00027,ADM-1.4,ADM-1.7,ADM-1.7,silver_audit,model,review_required,low_confidence,False,False,0.7257285118103027,0.5506984740495682,COMPRAS,Intereses Exentos,,SOCIEDAD CONCESIONARIA RUTA 5 TALCA-CHILLAN S.A.,False,ADM-1.7;ADM-1.4;EXP-14.1,[COMPRAS] | Intereses Exentos | SOCIEDAD CONCESIONARIA RUTA 5 TALCA-CHILLAN S.A.,,review_required,low_confidence
SA-00071,ADM-1.4,ADM-1.7,ADM-1.7,silver_audit,model,review_required,low_confidence,False,False,0.6811860799789429,0.4399506151676178,COMPRAS,Intereses Exentos,,"RUTA DEL MAIPO SOCIEDAD CONCESIONARIA, S.A.",False,ADM-1.7;ADM-1.4;EXP-14.1,"[COMPRAS] | Intereses Exentos | RUTA DEL MAIPO SOCIEDAD CONCESIONARIA, S.A.",,review_required,low_confidence
SA-00475,EXP-10.1,ADM-1.6,ADM-1.6,file_audit,model,review_required,low_confidence,False,False,0.23913037776947021,0.10950222611427307,COMPRAS,EMERGENCIA EQUIPOS DE REFRIGERACION,,SOCIEDAD COMERCIAL SERLAC CHILE S.A.,False,ADM-1.6;EXP-10.1;EXP-13.1,[COMPRAS] | EMERGENCIA EQUIPOS DE REFRIGERACION | SOCIEDAD COMERCIAL SERLAC CHILE S.A.,,review_required,low_confidence
SA-00821,EXP-10.1,EXP-10.4,EXP-10.4,silver_audit,model,review_required,weak_class,False,False,0.5993164777755737,0.35617662966251373,COMPRAS,DISTRIBUIDOR DE AIRE DEL COLECTOR,,GEA Farm Technologies Osorno Ltda.,False,EXP-10.4;EXP-10.1;EXP-10.3,[COMPRAS] | DISTRIBUIDOR DE AIRE DEL COLECTOR | GEA Farm Technologies Osorno Ltda.,,review_required,weak_class
SA-00805,EXP-10.4,EXP-10.1,EXP-10.1,silver_audit,model,review_required,low_confidence,False,False,0.6021538972854614,0.3316359519958496,COMPRAS,-Juego de servicio - Gestion de leche (C)var.,,GEA Farm Technologies Osorno Ltda.,False,EXP-10.1;EXP-10.4;EXP-10.2,[COMPRAS] | -Juego de servicio - Gestion de leche (C)var. | GEA Farm Technologies Osorno Ltda.,,review_required,low_confidence
SA-00636,EXP-11.1,EXP-9.1,EXP-9.1,file_audit,model,review_required,electricity_requires_exact_meter_or_lookup,False,False,0.5836657285690308,0.38789398968219757,COMPRAS,Electricidad Lecheria - NTILLANCA S.A.,,NTILLANCA S.A.,False,EXP-9.1;EXP-11.1;EXP-11.2,[COMPRAS] | Electricidad Lecheria - NTILLANCA S.A. | NTILLANCA S.A.,electricity_requires_exact_meter_or_lookup,review_required,electricity_requires_exact_meter_or_lookup
SA-00044,EXP-12.1,EXP-8.4,EXP-8.4,silver_audit,model,review_required,weak_class,False,False,0.21741114556789398,0.04454773664474487,COMPRAS,NIRS ENSILAJE PRADERA FORRAJE,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,False,EXP-8.4;EXP-6.3;EXP-12.2,[COMPRAS] | NIRS ENSILAJE PRADERA FORRAJE | COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,,review_required,weak_class
SA-00102,EXP-13.1,ADM-1.5,ADM-1.5,silver_audit,model,review_required,low_confidence,False,False,0.2893298268318176,0.1799079328775406,COMPRAS,MANO DE OBRA SERVICIO TECNICO GILTRAP,MANO DE OBRA SERVICIO TECNICO GILTRAP,GALLAGHER CHILE SPA,False,ADM-1.5;EXP-15.2;EXP-14.3,[COMPRAS] | MANO DE OBRA SERVICIO TECNICO GILTRAP | MANO DE OBRA SERVICIO TECNICO GILTRAP | GALLAGHER CHILE SPA,,review_required,low_confidence
SA-00154,EXP-13.1,ADM-1.5,ADM-1.5,silver_audit,model,review_required,low_confidence,False,False,0.3483762741088867,0.2217661738395691,COMPRAS,MANO DE OBRA SERVICIO TECNICO GALLAGHER,MANO DE OBRA SERVICIO TECNICO GALLAGHER,GALLAGHER CHILE SPA,False,ADM-1.5;EXP-14.3;EXP-15.2,[COMPRAS] | MANO DE OBRA SERVICIO TECNICO GALLAGHER | MANO DE OBRA SERVICIO TECNICO GALLAGHER | GALLAGHER CHILE SPA,,review_required,low_confidence
