gold_id,truth,prediction,model_prediction,gold_source,source,decision,reason,correct,model_prediction_correct,top1,margin,direction,item_text,description,provider,lookup_conflict,top3,model_text,guard_reason,counterfactual_model_decision,counterfactual_model_reason
SA-00655,ADM-1.4,ADM-1.4,ADM-1.4,file_audit,model,review_required,low_confidence,True,True,0.23239830136299133,0.11985332518815994,COMPRAS,Movilizacion - ESTACIONES DE SERVICIO PAOLA USLAR MOLINA E.I.R.L,,ESTACIONES DE SERVICIO PAOLA USLAR MOLINA E.I.R.L,False,ADM-1.4;ADM-1.7;EXP-9.2,[COMPRAS] | Movilizacion - ESTACIONES DE SERVICIO PAOLA USLAR MOLINA E.I.R.L | ESTACIONES DE SERVICIO PAOLA USLAR MOLINA E.I.R.L,,review_required,low_confidence
MA-03899,ADM-1.5,ADM-1.5,ADM-1.5,manual_raw_starving_audit,model,review_required,low_confidence,True,True,0.25406867265701294,0.14577864110469818,COMPRAS,ALMUERZOS,COMPROBANTE DEBITO N° 012728,MINERVA RUTH ARELLANO VASQUEZ,False,ADM-1.5;EXP-14.1;EXP-15.2,[COMPRAS] | ALMUERZOS | COMPROBANTE DEBITO N° 012728 | MINERVA RUTH ARELLANO VASQUEZ,,review_required,low_confidence
SA-00649,ADM-1.5,ADM-1.5,ADM-1.5,file_audit,model,review_required,low_confidence,True,True,0.7468286752700806,0.5979275107383728,COMPRAS,Habitaciones ( 1),,TALBOT HOTELS S A,False,ADM-1.5;EXP-13.2;EXP-14.1,[COMPRAS] | Habitaciones ( 1) | TALBOT HOTELS S A,,review_required,low_confidence
SA-00682,ADM-1.6,ADM-1.6,ADM-1.6,file_audit,model,review_required,low_confidence,True,True,0.4284096956253052,0.29495446383953094,COMPRAS,TONER ORIGINAL TN860XL MARCA BROTHER CON UN 5 0 DESCUENTO,TONER ORIGINAL TN860XL MARCA BROTHER,COMERCIAL V A M OFFICES SUPPLIES LIMITADA,False,ADM-1.6;EXP-14.3;EXP-9.2,[COMPRAS] | TONER ORIGINAL TN860XL MARCA BROTHER CON UN 5 0 DESCUENTO | TONER ORIGINAL TN860XL MARCA BROTHER | COMERCIAL V A M OFFICES SUPPLIES LIMITADA,,review_required,low_confidence
SA-00278,ADM-2.2,ADM-2.2,ADM-2.2,silver_audit,model,review_required,low_confidence,True,True,0.6464258432388306,0.33952903747558594,COMPRAS,RUTCOBRANZA 96685810,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,False,ADM-2.2;ADM-2.1;ADM-1.4,[COMPRAS] | RUTCOBRANZA 96685810 | Cia de Seguros de Vida Consorcio Nacional de Seguros SA,,review_required,low_confidence
SA-00002,EXP-1.1,EXP-1.1,EXP-1.1,silver_audit,model,review_required,weak_class,True,True,0.8554434180259705,0.8422174248844385,COMPRAS,CURSO OPERADOR MOTOS,,SERVICIOS TECNICOS DE CAPACITACION VICTOR HERMINIO MIRANDA HERNANDEZ E,False,EXP-1.1;EXP-15.2;EXP-12.1,[COMPRAS] | CURSO OPERADOR MOTOS | SERVICIOS TECNICOS DE CAPACITACION VICTOR HERMINIO MIRANDA HERNANDEZ E,,review_required,weak_class
SA-00454,EXP-10.1,EXP-10.1,EXP-10.1,file_audit,model,review_required,low_confidence,True,True,0.6827992796897888,0.4884033203125,COMPRAS,CHAPALETA BOMBA DE LECHE 1.1/1.5,,HGS DAIRY SOLUTIONS SPA,False,EXP-10.1;EXP-10.3;EXP-10.4,[COMPRAS] | CHAPALETA BOMBA DE LECHE 1.1/1.5 | HGS DAIRY SOLUTIONS SPA,,review_required,low_confidence
SA-00471,EXP-10.1,EXP-10.1,EXP-10.1,file_audit,model,review_required,low_confidence,True,True,0.5466206073760986,0.1817081868648529,COMPRAS,FILTRO LECHE JUMBO 100 UND 150 X 800 MM,,GEA Farm Technologies Osorno Ltda.,False,EXP-10.1;EXP-10.4;EXP-10.3,[COMPRAS] | FILTRO LECHE JUMBO 100 UND 150 X 800 MM | GEA Farm Technologies Osorno Ltda.,,review_required,low_confidence
SA-00819,EXP-10.1,EXP-10.1,EXP-10.1,silver_audit,model,review_required,low_confidence,True,True,0.5684046745300293,0.20976483821868896,COMPRAS,SELLO DEL CUERPO ICIP PARA LA COPA DE GOMA Y EL CORTADOR DE CLIPS,,GEA Farm Technologies Osorno Ltda.,False,EXP-10.1;EXP-10.4;EXP-10.3,[COMPRAS] | SELLO DEL CUERPO ICIP PARA LA COPA DE GOMA Y EL CORTADOR DE CLIPS | GEA Farm Technologies Osorno Ltda.,,review_required,low_confidence
SA-00458,EXP-10.4,EXP-10.4,EXP-10.4,file_audit,model,review_required,weak_class,True,True,0.49635031819343567,0.07171902060508728,COMPRAS,PARTE INFERIOR COLECTOR USADA,,GEA Farm Technologies Osorno Ltda.,False,EXP-10.4;EXP-10.1;EXP-10.3,[COMPRAS] | PARTE INFERIOR COLECTOR USADA | GEA Farm Technologies Osorno Ltda.,,review_required,weak_class
