direction,source_file,source_path,folio,line_number,provider_rut,provider,item_text,description,quantity,unit,unit_price,amount,discount_pct,discount_amount,normalized_text,zero_reason,audit_verdict,audit_rationale
COMPRAS,DTE_033_000000006480_768318301.xml,Data/Raw_Data/dte_96685810_COMPRAS/202501/DTE_033_000000006480_768318301.xml,6480,2,76831830-1,AUTOMOTRIZ TECNOCID LIMITADA,Comentarios:,Comentarios:,1,,,0,,,comentarios comentarios,amount_zero,EXCLUDE_JUNK,comments_header
COMPRAS,DTE_033_000000017084_766379990.xml,Data/Raw_Data/dte_96685810_COMPRAS/202501/DTE_033_000000017084_766379990.xml,17084,2,76637999-0,ENTRE RIEGOS DEL SUR SPA,ENTREGA INMEDIATA&#46; SALVO VENTA PREVIA,&#45;&#45;&#45;&#45; CANCELADA TRANSFERENCIA 23&#45;01&#45;2025,1,UNID,,0,,,entrega inmediata 46 salvo venta previa 45 45 45 45 cancelada transferencia 23 45 01 45 2025,amount_zero,EXCLUDE_JUNK,delivery_payment_note
COMPRAS,DTE_033_000000017185_766379990.xml,Data/Raw_Data/dte_96685810_COMPRAS/202501/DTE_033_000000017185_766379990.xml,17185,4,76637999-0,ENTRE RIEGOS DEL SUR SPA,INSTALACION DE BOMBA ROVATTI NUEVA,&#45;&#45;&#45;&#45; RETIRA SR JAVIER MU&deg;OZ,1,UNID,,0,,,instalacion de bomba rovatti nueva 45 45 45 45 retira sr javier mu deg oz,amount_zero,KEEP_GENUINE_OR_UNCERTAIN,"zero-value text may describe a real/free/bundled good, service, or correction; retain safely"
COMPRAS,DTE_033_000000365765_801251005.xml,Data/Raw_Data/dte_96685810_COMPRAS/202501/DTE_033_000000365765_801251005.xml,365765,2,80125100-5,BOTTAI S.A.,Segun Guias,"G0371619,",,,,0,,,segun guias g0371619,amount_zero,EXCLUDE_JUNK,delivery_reference
COMPRAS,DTE_033_000000551719_969183005.xml,Data/Raw_Data/dte_96685810_COMPRAS/202501/DTE_033_000000551719_969183005.xml,551719,2,96918300-5,DIFOR CHILE S.A.,FORD F150 LARIAT TBZL-91 41264 03/01/2025 14:58 725197,A@FORD F150 LARIAT TBZL-91 41264 03/01/2025 14:58 725197,,,,0,,,ford f150 lariat tbzl 91 41264 03 01 2025 14 58 725197 a ford f150 lariat tbzl 91 41264 03 01 2025 14 58 725197,amount_zero,EXCLUDE_JUNK,vehicle_work_order_metadata
COMPRAS,DTE_033_000000551719_969183005.xml,Data/Raw_Data/dte_96685810_COMPRAS/202501/DTE_033_000000551719_969183005.xml,551719,3,96918300-5,DIFOR CHILE S.A.,--------------------------------------------------------------------------------,A@---------------------------------------------------------------------------------,,,,0,,,a,amount_zero,EXCLUDE_JUNK,separator
COMPRAS,DTE_033_000000551719_969183005.xml,Data/Raw_Data/dte_96685810_COMPRAS/202501/DTE_033_000000551719_969183005.xml,551719,4,96918300-5,DIFOR CHILE S.A.,CODIGO DESCRIPCION,A@CODIGO DESCRIPCION,,,,0,,,codigo descripcion a codigo descripcion,amount_zero,EXCLUDE_JUNK,printed_column_header
COMPRAS,DTE_033_000000551719_969183005.xml,Data/Raw_Data/dte_96685810_COMPRAS/202501/DTE_033_000000551719_969183005.xml,551719,5,96918300-5,DIFOR CHILE S.A.,--------------------------------------------------------------------------------,A@---------------------------------------------------------------------------------,,,,0,,,a,amount_zero,EXCLUDE_JUNK,separator
COMPRAS,DTE_033_000000551719_969183005.xml,Data/Raw_Data/dte_96685810_COMPRAS/202501/DTE_033_000000551719_969183005.xml,551719,6,96918300-5,DIFOR CHILE S.A.,S-MD40 CUARTA MANTENCION,A@S-MD40 CUARTA MANTENCION,,,,0,,,s md40 cuarta mantencion a s md40 cuarta mantencion,amount_zero,KEEP_GENUINE_OR_UNCERTAIN,"zero-value text may describe a real/free/bundled good, service, or correction; retain safely"
COMPRAS,DTE_033_000000551719_969183005.xml,Data/Raw_Data/dte_96685810_COMPRAS/202501/DTE_033_000000551719_969183005.xml,551719,7,96918300-5,DIFOR CHILE S.A.,SCO-MO REVISAR FUNCIONAMIENTO DEL SISTEMA OPERA,A@SCO-MO REVISAR FUNCIONAMIENTO DEL SISTEMA OPERA,,,,0,,,sco mo revisar funcionamiento del sistema opera a sco mo revisar funcionamiento del sistema opera,amount_zero,EXCLUDE_JUNK,workshop_request_note
