rows,direction,normalized_text,example_item,example_description,providers,zero_reasons,verdict,rationale
47,COMPRAS,a,--------------------------------------------------------------------------------,A@---------------------------------------------------------------------------------,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,separator
23,COMPRAS,codigo descripcion a codigo descripcion,CODIGO DESCRIPCION,A@CODIGO DESCRIPCION,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,printed_column_header
23,COMPRAS,valores netos con descto incluido a valores netos con descto incluido,--------------------------Valores Netos con Descto. Incluido--------------------,A@--------------------------Valores Netos con Descto. Incluido--------------------,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,printed_totals_header
22,COMPRAS,2,--------------------------------------------------------------------------------,2@--------------------------------------------------------------------------------,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,separator
22,COMPRAS,recuerde programar su proxima visita a servicio al numero 600 262 05 55 2 recuerde programar su proxima visita a servicio al numero 600 262 05 55,RECUERDE PROGRAMAR SU PROXIMA VISITA A SERVICIO AL NUMERO : 600 262 05 55.,2@RECUERDE PROGRAMAR SU PROXIMA VISITA A SERVICIO AL NUMERO : 600 262 05 55.,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,workshop_reminder
22,COMPRAS,taller ford osorno 2 taller ford osorno,Taller Ford Osorno.,2@Taller Ford Osorno.,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,workshop_footer
22,COMPRAS,vim undefined 2 vim undefined,VIM : undefined,2@VIM : undefined,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,broken_template_field
14,COMPRAS,decodificadores adicionales,Decodificadores Adicionales,,DIRECTV Chile TelevisiÃ³n Limitada,amount_zero,KEEP_GENUINE_OR_UNCERTAIN,"zero-value text may describe a real/free/bundled good, service, or correction; retain safely"
13,COMPRAS,rutcobranza 96685810,RUTCOBRANZA 96685810,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,amount_zero,EXCLUDE_JUNK,billing_reference
10,COMPRAS,mo elec mec repuestos accesorios servicios lubricacion auto2 mo elec mec repuestos accesorios servicios lubricacion,MO elec Mec Repuestos Accesorios Servicios Lubricacion,AUTO2@MO elec Mec Repuestos Accesorios Servicios Lubricacion,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,printed_service_columns
10,COMPRAS,mo elec mec repuestos accesorios servicios lubricaciontrabajos fue auto2 mo elec mec repuestos accesorios servicios lubricaciontrabajos fue,MO elec Mec Repuestos Accesorios Servicios LubricacionTrabajos Fue,AUTO2@MO elec Mec Repuestos Accesorios Servicios LubricacionTrabajos Fue,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,printed_service_columns
8,COMPRAS,programacion premiums,Programación Premiums,,DIRECTV Chile TelevisiÃ³n Limitada,amount_zero,KEEP_GENUINE_OR_UNCERTAIN,"zero-value text may describe a real/free/bundled good, service, or correction; retain safely"
7,COMPRAS,peaje autopista vespucio norte,Peaje Autopista Vespucio Norte,,Sociedad Concesionaria Vespucio Norte Express S.A.,amount_zero,KEEP_GENUINE_OR_UNCERTAIN,"zero-value text may describe a real/free/bundled good, service, or correction; retain safely"
4,COMPRAS,s md30 tercera mantencion a s md30 tercera mantencion,S-MD30 TERCERA MANTENCION,A@S-MD30 TERCERA MANTENCION,DIFOR CHILE S.A.,amount_zero,KEEP_GENUINE_OR_UNCERTAIN,"zero-value text may describe a real/free/bundled good, service, or correction; retain safely"
3,COMPRAS,s md20 segunda mantencion a s md20 segunda mantencion,S-MD20 SEGUNDA MANTENCION,A@S-MD20 SEGUNDA MANTENCION,DIFOR CHILE S.A.,amount_zero,KEEP_GENUINE_OR_UNCERTAIN,"zero-value text may describe a real/free/bundled good, service, or correction; retain safely"
3,COMPRAS,s md40 cuarta mantencion a s md40 cuarta mantencion,S-MD40 CUARTA MANTENCION,A@S-MD40 CUARTA MANTENCION,DIFOR CHILE S.A.,amount_zero,KEEP_GENUINE_OR_UNCERTAIN,"zero-value text may describe a real/free/bundled good, service, or correction; retain safely"
2,COMPRAS,deducible,DEDUCIBLE,,COMERCIAL E INVERSIONES SERVICID LTDA.,amount_zero,KEEP_GENUINE_OR_UNCERTAIN,"zero-value text may describe a real/free/bundled good, service, or correction; retain safely"
2,COMPRAS,s md10 primera mantencion a s md10 primera mantencion,S-MD10 PRIMERA MANTENCION,A@S-MD10 PRIMERA MANTENCION,DIFOR CHILE S.A.,amount_zero,KEEP_GENUINE_OR_UNCERTAIN,"zero-value text may describe a real/free/bundled good, service, or correction; retain safely"
2,COMPRAS,s md50 quinta mantencion a s md50 quinta mantencion,S-MD50 QUINTA MANTENCION,A@S-MD50 QUINTA MANTENCION,DIFOR CHILE S.A.,amount_zero,KEEP_GENUINE_OR_UNCERTAIN,"zero-value text may describe a real/free/bundled good, service, or correction; retain safely"
2,COMPRAS,s md60 sexta mantencion a s md60 sexta mantencion,S-MD60 SEXTA MANTENCION,A@S-MD60 SEXTA MANTENCION,DIFOR CHILE S.A.,amount_zero,KEEP_GENUINE_OR_UNCERTAIN,"zero-value text may describe a real/free/bundled good, service, or correction; retain safely"
2,COMPRAS,s md70 servicio de 70000 km a s md70 servicio de 70000 km,S-MD70 SERVICIO DE 70000 KM.,A@S-MD70 SERVICIO DE 70000 KM.,DIFOR CHILE S.A.,amount_zero,KEEP_GENUINE_OR_UNCERTAIN,"zero-value text may describe a real/free/bundled good, service, or correction; retain safely"
2,COMPRAS,total gasolina sp 93 octanos nu 1203 20 000 litro,Total,"GASOLINA SP 93 OCTANOS NU 1203| 20,000|Litro",COPEC S.A.,amount_zero,EXCLUDE_JUNK,zero_fuel_summary
