row_id,input_id,source_file,period,folio,nro_lin_det,direction,invoice_date,document_type,provider_rut,provider_giro,item_text,description,provider,farm,meter_code,amount,unit_price,xml_document_kind,source,prediction,top1,margin,entropy,decision,reason,top3,model_prediction,model_top1,lookup_conflict,exact_known_truth,exact_known_consistent,risk_flags
5,COMPRAS|165563778|66|1,DTE_033_000000000066_165563778.xml,2025-01,66,1,COMPRAS,2025-01-02,33,165563778,TRANSPORTE DE CARGA POR CARRETERA / SERVICIOS CONDUCTOR PROFESIONAL,Flete mudanza 27/12/2024,,JUAN ANGEL ANIBAL VERGARA OBANDO,,,35000,35000.00,Documento,model,EXP-15.3,0.958387,0.94967,0.301573,auto_accept,,EXP-15.3:0.9584;EXP-14.1:0.0087;EXP-4.2:0.0058,EXP-15.3,0.958387,False,,,novel_model_auto_accept
6,COMPRAS|165563778|66|2,DTE_033_000000000066_165563778.xml,2025-01,66,2,COMPRAS,2025-01-02,33,165563778,TRANSPORTE DE CARGA POR CARRETERA / SERVICIOS CONDUCTOR PROFESIONAL,Flete Colun 30/12/2024,,JUAN ANGEL ANIBAL VERGARA OBANDO,,,45000,45000.00,Documento,model,EXP-15.3,0.955518,0.949168,0.320348,auto_accept,,EXP-15.3:0.9555;EXP-4.2:0.0063;EXP-10.4:0.0059,EXP-15.3,0.955518,False,,,novel_model_auto_accept
9,COMPRAS|165563778|69|1,DTE_033_000000000069_165563778.xml,2025-01,69,1,COMPRAS,2025-01-23,33,165563778,TRANSPORTE DE CARGA POR CARRETERA / SERVICIOS CONDUCTOR PROFESIONAL,Flete desde Colun,Paillaco a El Maitén,JUAN ANGEL ANIBAL VERGARA OBANDO,,,40000,40000.00,Documento,model,EXP-15.3,0.966217,0.961123,0.2551,auto_accept,,EXP-15.3:0.9662;EXP-4.2:0.0051;EXP-14.1:0.0040,EXP-15.3,0.966217,False,,,novel_model_auto_accept
12,COMPRAS|114272906|88|1,DTE_033_000000000088_114272906.xml,2025-01,88,1,COMPRAS,2025-01-17,33,114272906,TRANSPORTE DE CARGA - SERVICIOS DE PICADURIA DE LEÑA,SERVICIO DE FLETE .,TRASLADO TUBERIA.,SILVIA FRANCISCA CASTILLO PARDO,,,35000,35000.00,Documento,model,EXP-15.3,0.805266,0.729688,1.006095,auto_accept,,EXP-15.3:0.8053;EXP-14.1:0.0756;EXP-2.1:0.0157,EXP-15.3,0.805266,False,,,novel_model_auto_accept
13,COMPRAS|14128178K|92|1,DTE_033_000000000092_14128178K.xml,2025-01,92,1,COMPRAS,2025-01-10,33,14128178K,PRODUCTORA DE EVENTOS,SERVICIO DE TRASLADO,,GABRIEL ALEJANDRO CASTILLO JOHANSEN,,,13400,13400.00,Documento,model,EXP-14.1,0.801685,0.750112,1.071183,auto_accept,,EXP-14.1:0.8017;ADM-1.4:0.0516;EXP-10.1:0.0260,EXP-14.1,0.801685,False,,,novel_model_auto_accept
14,COMPRAS|98208089|106|1,DTE_033_000000000106_98208089.xml,2025-01,106,1,COMPRAS,2025-01-09,33,98208089,TRANSPORTE DE CARGA Y PRESTACION DE SERVICIOS,Muestreo forraj.el Maiten,,JAVIER ARIEL SILVA VERA,,,126000,14000.00,Documento,model,EXP-12.1,0.977293,0.973509,0.174447,auto_accept,,EXP-12.1:0.9773;EXP-2.1:0.0038;EXP-8.2:0.0036,EXP-12.1,0.977293,False,,,novel_model_auto_accept
15,COMPRAS|98208089|106|2,DTE_033_000000000106_98208089.xml,2025-01,106,2,COMPRAS,2025-01-09,33,98208089,TRANSPORTE DE CARGA Y PRESTACION DE SERVICIOS,Muestras forra. Bramadero,,JAVIER ARIEL SILVA VERA,,,140000,14000.00,Documento,model,EXP-12.1,0.976773,0.972723,0.175961,auto_accept,,EXP-12.1:0.9768;EXP-2.1:0.0040;EXP-8.2:0.0039,EXP-12.1,0.976773,False,,,novel_model_auto_accept
16,COMPRAS|98208089|106|3,DTE_033_000000000106_98208089.xml,2025-01,106,3,COMPRAS,2025-01-09,33,98208089,TRANSPORTE DE CARGA Y PRESTACION DE SERVICIOS,Muestra Forra.Yutreco,,JAVIER ARIEL SILVA VERA,,,56000,14000.00,Documento,model,EXP-12.1,0.966409,0.956577,0.236261,auto_accept,,EXP-12.1:0.9664;EXP-2.1:0.0098;EXP-12.2:0.0042,EXP-12.1,0.966409,False,,,novel_model_auto_accept
34,COMPRAS|770642981|306|1,DTE_033_000000000306_770642981.xml,2025-01,306,1,COMPRAS,2025-01-31,33,770642981,CONSULTORÍA POR PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL,PREVENCION DE RIESGOS,CONSULTORIA POR PROFESIONAL EN SEGURIDAD Y SALUD OCUPACIONAL ENERO,SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,,,764080,191020.00,Documento,model,ADM-1.10,0.88994,0.854956,0.620356,auto_accept,,ADM-1.10:0.8899;EXP-15.1:0.0350;EXP-15.5:0.0215,ADM-1.10,0.88994,False,,,novel_model_auto_accept
41,COMPRAS|776183377|333|1,DTE_033_000000000333_776183377.xml,2025-01,333,1,COMPRAS,2025-01-17,33,776183377,PRESTACION DE SERVICIOS AGRICOLAS,FUMIGACIÓN CON RUEDAS,HORTALICERAS,AGRICOLA E INVERSIONES LOS COIHUES SPA,,,306000,18000.00,Documento,model,EXP-7.0,0.937336,0.920443,0.404249,auto_accept,,EXP-7.0:0.9373;EXP-10.3:0.0169;EXP-13.1:0.0127,EXP-7.0,0.937336,False,,,novel_model_auto_accept
