rows,reason,prediction,prediction_name,direction,normalized_item,example_item,example_description,example_provider,mean_top1
459,low_confidence,EXP-11.4,Bencina,COMPRAS,gasolina 93,GASOLINA 93,,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,0.6957
80,low_confidence,EXP-7.0,AGROQUIMICOS,COMPRAS,control de roedores,CONTROL DE ROEDORES,"PROGRAMA DE CONTROL DE ROEDORES AL PREDIO RAICES, VISITAS REALIZADAS 7/01/2025 HT6415; 21/01/2025 HT6440.",H2 ASESORIAS Y SERVICIOS SPA,0.5131
73,item_name_carries_no_classifiable_text,ADM-1.4,Movilizacion,COMPRAS,93 s p,93 S/P,,ESTACIONES DE SERVICIO PAOLA USLAR MOLINA E.I.R.L.,0.7447
61,item_name_carries_no_classifiable_text,EXP-13.1,Mantencion Maquinaria,COMPRAS,g93,G93,G93,COMERCIAL Y SERVICIOS FUTRONO LIMITADA,0.4121
60,weak_class,EXP-5.1,Concentrado Vacas,COMPRAS,biolact antillanca granel,BIOLACT ANTILLANCA GRANEL,,AGROCOMERCIAL IANSA S.A.,0.7925
57,generic_item_name_requires_review,EXP-13.1,Mantencion Maquinaria,COMPRAS,item,Item,Servicios de Mantención~SERVICIO DE MANTENIMIENTO PREVENTIVO 1BM6115JCRD601743,SALINAS Y FABRES S.A.,0.4647
34,weak_class,EXP-6.3,Cal,COMPRAS,cal sur iansa a granel,CAL SUR IANSA A GRANEL,,IANSAGRO S.A.,0.9568
23,low_confidence,EXP-13.3,Mantencion Vehiculos,COMPRAS,marca modelo patente stock km veh fec recep hr fa no orden,Marca Modelo Patente Stock Km.Veh. Fec Recep. Hr.Fa No. Orden,AUTO@Marca Modelo Patente Stock Km.Veh. Fec Recep. Hr.Fa No. Orden,DIFOR CHILE S.A.,0.2337
22,low_confidence,ADM-1.6,Utiles y gastos de oficina.,COMPRAS,recarga agua purificada,Recarga Agua Purificada,,PURIFICADORA DE AGUA ALEJANDRO SALAZAR RIVERA E.I.R.L.,0.5308
22,unfamiliar_for_predicted_class,EXP-10.3,Detergentes e higenizantes,COMPRAS,oracid 60 l,ORACID 60 L,,GEA Farm Technologies Osorno Ltda.,0.8037
20,low_confidence,EXP-15.4,Arriendo Maquinaria y Vehiculos,COMPRAS,arriendo dispensador agua fria caliente,Arriendo Dispensador Agua Fria-Caliente,,Manantial S.A,0.4622
19,low_confidence,ADM-1.7,Otros Gastos Administracion,COMPRAS,comision por nominas en linea cca,Comisión por Nóminas en Línea CCA,,BANCO BICE,0.5174
17,item_name_carries_no_classifiable_text,EXP-7.0,AGROQUIMICOS,COMPRAS,g93,G93,G93,DANIEL VILLAR Y CIA LTDA,0.5069
17,low_confidence,EXP-14.1,Mantencion Caminos,COMPRAS,pago arriendo operacion,PAGO ARRIENDO OPERACION:,PAGO ARRIENDO OPERACION:,Santander - Chile,0.3671
17,low_confidence,EXP-14.4,Mantencion Instalaciones,COMPRAS,mantencion extintores,MANTENCION EXTINTORES,MANTENCION EXTINTOR PQS DE 04 KG,COMERCIAL V&P LIMITADA,0.3099
15,low_confidence,ADM-1.2,Comunicaciones e Internet,COMPRAS,diferencia cargo minimo,DIFERENCIA CARGO MINIMO,,Manantial S.A,0.4207
15,low_confidence,ADM-1.7,Otros Gastos Administracion,COMPRAS,transito,TRANSITO,,SOCIEDAD CONCESIONARIA RUTA 5 CHILLAN-COLLIPULLI S.A.,0.6848
14,liquidacion_dte43_requires_client_category,EXP-1.1,Otros Gastos RRHH,COMPRAS,vaquilla engorda,VAQUILLA ENGORDA,YERS/2,Tattersall Ganado S.A.,0.2345
14,liquidacion_dte43_requires_client_category,EXP-10.1,Mantencion Sala,COMPRAS,vaca gorda,VACA GORDA,CAB NEG EXP 8*,Tattersall Ganado S.A.,0.2173
14,low_confidence,ADM-1.2,Comunicaciones e Internet,COMPRAS,otros cobros y descuentos no facturable,Otros cobros y descuentos no facturable,,Entel PCS Telecomunicaciones S.A.,0.7391
14,low_confidence,ADM-1.7,Otros Gastos Administracion,COMPRAS,comision de uso mensual nro documento 474150001441,COMISION DE USO MENSUAL (Nro. Documento: 474150001441),,BANCO BICE,0.2835
14,low_confidence,ADM-1.7,Otros Gastos Administracion,COMPRAS,comision mensual administracion convenio remuneraciones,COMISION MENSUAL ADMINISTRACION CONVENIO]REMUNERACIONES,COMISION MENSUAL ADMINISTRACION CONVENIO]REMUNERACIONES ]NUMERO DE OPERACION 02600554401 .,Banco de Chile,0.3708
14,low_confidence,EXP-14.1,Mantencion Caminos,COMPRAS,arriendo fundo pelleco,ARRIENDO FUNDO PELLECO,LOTE A ROL 2230-12 MES DE ENERO 2025,SOC INMOBILIARIA PROGRESO ROLANDO EGON ACUÑA SCHEEL E.I.R.L.,0.3615
14,low_confidence,EXP-15.4,Arriendo Maquinaria y Vehiculos,COMPRAS,arriendo de televia,Arriendo de Televía,,SOC CONCESIONARIA AUTOPISTA CENTRAL S A,0.5802
13,generic_item_name_requires_review,ADM-1.6,Utiles y gastos de oficina.,COMPRAS,item,Item,FILTRO DECANTADOR DE AGUA ** Oferta **,SALINAS Y FABRES S.A.,0.3195
13,low_confidence,ADM-1.7,Otros Gastos Administracion,COMPRAS,comision mensual plan cuenta corriente pyme,COMISION MENSUAL PLAN CUENTA CORRIENTE ]PYME,COMISION MENSUAL PLAN CUENTA CORRIENTE ]PYME ]NUMERO DE OPERACION XXXXXXX4401 .,Banco de Chile,0.4839
13,low_confidence,EXP-14.1,Mantencion Caminos,COMPRAS,viajes tag del periodo,Viajes TAG del Periodo,,SOCIEDAD CONCESIONARIA RUTA 5 TALCA-CHILLAN S.A.,0.314
13,low_confidence,EXP-7.0,AGROQUIMICOS,COMPRAS,dsl,Dsl,Dsl,DISTRIBUIDORA COMERCIAL P Y G LIMITADA,0.4688
13,unfamiliar_for_predicted_class,ADM-2.2,Seguros Trabajadores,COMPRAS,seguro colectivo poliza nro 12799,Seguro Colectivo. Poliza Nro. 12799,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,0.8046
12,low_confidence,EXP-12.2,Analisis Animales,COMPRAS,leucosis elisa suero pool 10 muestras,LEUCOSIS ELISA SUERO POOL 10 MUESTRAS,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,0.4968
12,low_confidence,EXP-13.2,Mantencion Motos,COMPRAS,botellon 20 litros,Botellon 20 litros,,Manantial S.A,0.1817
12,low_confidence,EXP-14.4,Mantencion Instalaciones,COMPRAS,brucelosis rosa de bengala,BRUCELOSIS (ROSA DE BENGALA),,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,0.2628
12,unfamiliar_for_predicted_class,EXP-10.1,Mantencion Sala,COMPRAS,movilizacion de equipos de refrigeracion,MOVILIZACION DE EQUIPOS DE REFRIGERACION,,SOCIEDAD COMERCIAL SERLAC CHILE S.A.,0.7546
12,weak_class,EXP-1.1,Otros Gastos RRHH,COMPRAS,cemento oferta especial,CEMENTO OFERTA ESPECIAL -@,CEMENTO OFERTA ESPECIAL -@,DORIS IVONNE CASTILLO KANTER,0.258
11,low_confidence,ADM-1.4,Movilizacion,COMPRAS,recarga de prepagos,Recarga de Prepagos,,Ruta de los Rios Sociedad Concesionaria S.A.,0.5462
11,low_confidence,EXP-7.0,AGROQUIMICOS,COMPRAS,clavo de 4 kg,CLAVO DE 4 KG -@,CLAVO DE 4 KG -@,DORIS IVONNE CASTILLO KANTER,0.1832
10,generic_item_name_requires_review,EXP-14.4,Mantencion Instalaciones,COMPRAS,mano de obra,MANO DE OBRA,MEJORAMIENTO HABITACIONAL,ALEJANDRO RICARDO CARRASCO AGUILAR,0.4017
10,low_confidence,EXP-10.3,Detergentes e higenizantes,COMPRAS,tri pfan 200 lts,TRI-PFAN 200 LTS,,GEA Farm Technologies Osorno Ltda.,0.5265
9,low_confidence,ADM-1.2,Comunicaciones e Internet,COMPRAS,dsl,Dsl,Dsl,SOC DE TRANSPORTES STEUER HOLMGREN Y COM,0.3015
