family,prediction,top1,margin,item_text,description,provider,row_id
hardware_into_EXP-1.1_rrhh,EXP-1.1,0.755821,0.656352,CARROS PURIN,,GONBAR SPA,1504
hardware_into_EXP-1.1_rrhh,EXP-1.1,0.832737,0.797613,LIJA FIERRO NEXO # 80,LIJA FIERRO NEXO # 80,COMERCIAL HARCHA SPA,2444
hardware_into_EXP-1.1_rrhh,EXP-1.1,0.765013,0.657943,PANTALLA LAMPARA,,MIRTHA LEONOR CASTILLO KANTER,4538
hardware_into_EXP-1.1_rrhh,EXP-1.1,0.807444,0.778597,LIJA FIERRO NEXO # 100,LIJA FIERRO NEXO # 100,COMERCIAL HARCHA SPA,5191
hardware_into_EXP-1.1_rrhh,EXP-1.1,0.815367,0.76501,PEGATANKE EPOXI NEGRO,,COMERCIAL CLIMENT SPA,6163
hardware_into_EXP-1.1_rrhh,EXP-1.1,0.779465,0.724372,CINTA ADHESIVA TRANSPARANTE,,LOS MAGNIFICOS SPA,6775
hardware_into_EXP-1.1_rrhh,EXP-1.1,0.795842,0.738501,"PILA DURACELL GRANDE ""D"" D","PILA DURACELL GRANDE ""D"" D",COMERCIAL HARCHA SPA,9995
hardware_into_EXP-1.1_rrhh,EXP-1.1,0.750041,0.71033,MANGUERA PQS,,EXTINT0RES ALFA VALDIVIA SPA,10606
nitrogeno_liquido_into_EXP-16.2,EXP-16.2,0.787745,0.744442,Nitrogeno liquido,,ABS CHILE LIMITADA,7741
nitrogeno_liquido_into_EXP-16.2,EXP-16.2,0.787745,0.744442,Nitrogeno liquido,,ABS CHILE LIMITADA,7753
nitrogeno_liquido_into_EXP-16.2,EXP-16.2,0.787745,0.744442,Nitrogeno liquido,,ABS CHILE LIMITADA,7760
nitrogeno_liquido_into_EXP-16.2,EXP-16.2,0.787745,0.744442,Nitrogeno liquido,,ABS CHILE LIMITADA,7770
nitrogeno_liquido_into_EXP-16.2,EXP-16.2,0.787745,0.744442,Nitrogeno liquido,,ABS CHILE LIMITADA,7793
nitrogeno_liquido_into_EXP-16.2,EXP-16.2,0.787745,0.744442,Nitrogeno liquido,,ABS CHILE LIMITADA,8710
