row_id,item_text,provider,exact_rule_truth,ml_prediction_with_rule_bypassed,top1,margin,correct_where_exact_truth_exists
11979,VENTA DE VACAS,ANTILLANCA SPA,ING-0.2,ING-0.2,0.92083,0.842091,True
11980,VENTA DE VACAS,ANTILLANCA SPA,ING-0.2,ING-0.2,0.933569,0.867533,True
11981,VENTA DE LECHE,ANTILLANCA SPA,ING-0.1,ING-0.1,0.999665,0.999442,True
11982,VENTA DE LECHE,ANTILLANCA SPA,ING-0.1,ING-0.1,0.999678,0.999465,True
11983,VENTA DE LECHE,ANTILLANCA SPA,ING-0.1,ING-0.1,0.999671,0.999454,True
11984,VENTA DE LECHE,ANTILLANCA SPA,ING-0.1,ING-0.1,0.999618,0.999365,True
11985,VENTA DE LECHE,ANTILLANCA SPA,ING-0.1,ING-0.1,0.999671,0.999455,True
11986,VENTA DE LECHE,ANTILLANCA SPA,ING-0.1,ING-0.1,0.999673,0.999458,True
11987,VENTA DE LECHE,ANTILLANCA SPA,ING-0.1,ING-0.1,0.999667,0.999445,True
11988,VENTA CAMIONETA,ANTILLANCA SPA,,ING-0.3,0.418278,0.084744,
11989,VENTA DE LECHE,ANTILLANCA SPA,ING-0.1,ING-0.1,0.999655,0.999426,True
11990,VENTA DE LECHE,ANTILLANCA SPA,ING-0.1,ING-0.1,0.99967,0.999449,True
11991,VENTA DE LECHE,ANTILLANCA SPA,ING-0.1,ING-0.1,0.999571,0.999282,True
11992,VENTA DE TERNERAS,ANTILLANCA SPA,ING-0.4,ING-0.4,0.647388,0.407721,True
11993,VENTA DE VAQUILLAS,ANTILLANCA SPA,ING-0.3,ING-0.3,0.894678,0.789818,True
11994,VENTA DE LECHE,ANTILLANCA SPA,ING-0.1,ING-0.1,0.999641,0.999401,True
11995,VENTA DE LECHE,ANTILLANCA SPA,ING-0.1,ING-0.1,0.999659,0.999431,True
11996,VENTA DE LECHE,ANTILLANCA SPA,ING-0.1,ING-0.1,0.999642,0.999405,True
11997,VENTA DE VACAS,ANTILLANCA SPA,ING-0.2,ING-0.2,0.954383,0.909193,True
11998,VENTA DE VACAS,ANTILLANCA SPA,ING-0.2,ING-0.2,0.902909,0.806235,True
11999,VENTA DE LECHE,ANTILLANCA SPA,ING-0.1,ING-0.1,0.999665,0.999445,True
12000,VENTA DE LECHE,ANTILLANCA SPA,ING-0.1,ING-0.1,0.999642,0.999406,True
12001,VENTA DE LECHE,ANTILLANCA SPA,ING-0.1,ING-0.1,0.999666,0.999444,True
12002,VENTA DE ACTIVO FIJO,ANTILLANCA SPA,,ING-0.4,0.659206,0.470483,
12003,VENTA DE LECHE,ANTILLANCA SPA,ING-0.1,ING-0.1,0.99966,0.999437,True
12004,VENTA DE LECHE,ANTILLANCA SPA,ING-0.1,ING-0.1,0.999645,0.99941,True
12005,VENTA DE VACAS,ANTILLANCA SPA,ING-0.2,ING-0.2,0.956552,0.913501,True
12006,VENTA DE VAQUILLAS,ANTILLANCA SPA,ING-0.3,ING-0.3,0.946441,0.893199,True
12007,VENTA DE VACAS,ANTILLANCA SPA,ING-0.2,ING-0.2,0.866761,0.734344,True
12008,VENTA DE VACAS,ANTILLANCA SPA,ING-0.2,ING-0.2,0.948537,0.897548,True
12009,VENTAS TERNEROS,ANTILLANCA SPA,ING-0.4,ING-0.4,0.998523,0.997942,True
12010,VENTAS TERNEROS,ANTILLANCA SPA,ING-0.4,ING-0.4,0.997594,0.996365,True
12011,VENTAS TERNEROS,ANTILLANCA SPA,ING-0.4,ING-0.4,0.997594,0.996365,True
12012,VENTAS TERNEROS,ANTILLANCA SPA,ING-0.4,ING-0.4,0.998353,0.997706,True
12013,VENTA DE ACTIVO FIJO,ANTILLANCA SPA,,ING-0.4,0.644141,0.458857,
12014,VENTAS TERNEROS,ANTILLANCA SPA,ING-0.4,ING-0.4,0.998274,0.997592,True
12015,VENTAS TERNEROS,ANTILLANCA SPA,ING-0.4,ING-0.4,0.998463,0.997855,True
