row_id,item_text,description,provider,model_prediction,applied_label,top1,review_reason,evidence_tier
44,Analisis Nirs,Bolos de Ballica - Yutreco x 4 bolo y parva de ballica - Mai,ROCK RIVER LABORATORY LIMITADA,EXP-4.3,EXP-12.1,0.330413,weak_class,silver_audit
52,DICIEMBRE LAS RAICES,SERVICIO DE CARO PURINERO CORRESPONDIENTE A (19 CARROS X 10.,AGRÍCOLA RIBERAS DEL SAUCE SPA,EXP-14.1,EXP-15.5,0.331975,low_confidence,manually_audited_near_identical
62,mantencion trx 520,,MULTIMOTOS OSORNO SPA,EXP-13.1,EXP-13.2,0.275622,low_confidence,manually_audited_near_identical
786,KILOS PAJA DE TRIGO,CANTIDAD: 39 MAXIFARDOS ACOPLADO: JF-2403,AGRICOLA LAS LOMAS LIMITADA,ADM-1.6,EXP-4.3,0.263919,low_confidence,manually_audited_near_identical
1090,PIRIMOR,BOLSA 1 KG|,Tattersall AgroInsumos S.A.,EXP-2.4,EXP-7.0,0.309668,low_confidence,manually_audited_near_identical
1465,Representacion Casub RBM,,AWÜA CONSULTORES SPA,EXP-1.1,ADM-1.9,0.303897,weak_class,manually_audited_near_identical
1522,BOLOS DE PAJA,Según guía de despacho N° 2145 48 Bolos equivalentes a 8.770,SOC COMERCIAL AGRO-TRUST LTDA,EXP-4.3,EXP-5.4,0.343259,weak_class,silver_audit
1530,MANO DE OBRA SERVICIO TECNICO GALLAGHER,MANO DE OBRA SERVICIO TECNICO GALLAGHER,GALLAGHER CHILE SPA,EXP-14.4,EXP-13.1,0.28157,low_confidence,silver_audit
2091,R.N.PIBOTE RIEGO R 24,,VULCANIZACIÓN NONTUELÁ SPA,EXP-7.0,EXP-9.2,0.194652,irrigation_context_conflicts_with_prediction,manually_audited_near_identical
2458,HULE AFRANELADO DELGADO 1.40 ANCHO,HULE AFRANELADO DELGADO 1.40 ANCHO,COMERCIAL HARCHA SPA,EXP-14.3,EXP-14.4,0.200335,low_confidence,silver_audit
2994,BOLOS PAJA PLASTIFICADO,88 bolos de paja confección malla y cinta,SERVICIOS AGRICOLAS CORPAL SPA,EXP-4.2,EXP-4.3,0.55448,low_confidence,client_evidence
2997,APLICACION FERTILIZANTE,YUTRECO UREA 192 HA mas 43 HA aplicación Urea,SERVICIOS AGRICOLAS CORPAL SPA,EXP-6.5,EXP-6.2,0.548905,fertilizer_type_requires_review,manually_audited_near_identical
2998,APLICACION FERTILIZANTE,FERTILIZANTE NITROGENO 192 HA,SERVICIOS AGRICOLAS CORPAL SPA,EXP-6.5,EXP-6.2,0.791203,fertilizer_type_requires_review,manually_audited_near_identical
3866,FERTILIZACION BRAMADERO,,PRESTACIONES DE SERVICIOS AGRICOLAS EL SIERVO LIMITADA,EXP-6.1,EXP-6.5,0.632532,weak_class,silver_audit
3947,MANO DE OBRA SERVICIO TECNICO GALLAGHER,MANO DE OBRA SERVICIO TECNICO GALLAGHER,GALLAGHER CHILE SPA,EXP-14.4,EXP-13.1,0.28157,low_confidence,silver_audit
4491,CURSO OPERADOR MOTOS,,SERVICIOS TECNICOS DE CAPACITACION VICTOR HERMINIO MIRANDA HERNANDEZ E,EXP-10.1,EXP-1.1,0.328062,low_confidence,silver_audit
4652,MANO DE OBRA SERVICIO TECNICO GALLAGHER,MANO DE OBRA SERVICIO TECNICO GALLAGHER,GALLAGHER CHILE SPA,EXP-14.4,EXP-13.1,0.28157,low_confidence,silver_audit
4720,SELLO DEL CUERPO ICIP PARA LA COPA DE GOMA Y EL CORTADOR DE CLIPS,,GEA Farm Technologies Osorno Ltda.,EXP-10.4,EXP-10.1,0.270162,weak_class,silver_audit
4765,-Juego de servicio - Gestion de leche (C)var.,,GEA Farm Technologies Osorno Ltda.,EXP-10.1,EXP-10.4,0.737788,low_confidence,silver_audit
6682,FERT.SMART-BRAMADERO,,PRESTACIONES DE SERVICIOS AGRICOLAS EL SIERVO LIMITADA,EXP-6.5,EXP-6.2,0.406369,low_confidence,silver_audit
6749,MANTENION Y REPARACION,"MANTENCION MOTOS RAICES SEGUN OT N° 496, 497-",MULTIMOTOS OSORNO SPA,EXP-10.1,EXP-13.2,0.432995,low_confidence,silver_audit
7028,"CARTUCHO GAS BUTANO-PROPANO 227 G ""OFERTA""",,COMERCIAL CLIMENT SPA,EXP-16.2,EXP-11.5,0.577223,low_confidence,silver_audit
7102,"GARLON 4 3,79 L",,COAGRA S.A.,EXP-13.1,EXP-7.0,0.47176,low_confidence,silver_audit
7574,SERVICIO DE RETIRO Y,DISPOSICION FINAL DE RESIDUOS PLASTICOS,SOCIEDAD COMERCIAL VITACYCLE LIMITADA,ADM-1.5,EXP-16.2,0.118594,low_confidence,client_evidence
7692,MANO DE OBRA SERVICIO TECNICO GALLAGHER,MANO DE OBRA SERVICIO TECNICO GALLAGHER,GALLAGHER CHILE SPA,EXP-14.4,EXP-13.1,0.28157,low_confidence,silver_audit
7741,Nitrogeno liquido,,ABS CHILE LIMITADA,EXP-16.2,EXP-3.1,0.144139,low_confidence,client_evidence
7753,Nitrogeno liquido,,ABS CHILE LIMITADA,EXP-16.2,EXP-3.1,0.144139,low_confidence,client_evidence
7760,Nitrogeno liquido,,ABS CHILE LIMITADA,EXP-16.2,EXP-3.1,0.144139,low_confidence,client_evidence
7770,Nitrogeno liquido,,ABS CHILE LIMITADA,EXP-16.2,EXP-3.1,0.144139,low_confidence,client_evidence
7793,Nitrogeno liquido,,ABS CHILE LIMITADA,EXP-16.2,EXP-3.1,0.144139,low_confidence,client_evidence
8561,TRASLADO DE ABONO,2 VUELTAS - TINEO,PRESTACIONES DE SERVICIOS AGRICOLAS EL SIERVO LIMITADA,EXP-14.1,EXP-15.5,0.713926,low_confidence,manually_audited_near_identical
8576,SERVICIO DE RETIRO Y,DISPOSICION FINAL DE RESIDUOS,SOCIEDAD COMERCIAL VITACYCLE LIMITADA,ADM-1.5,EXP-16.2,0.141633,low_confidence,client_evidence
8586,MANTENCION Y REPARACION,SE ADJUNTA DETALLE,JOHN MARCELO CARRILLO SOLDAN,EXP-10.1,EXP-13.1,0.237124,low_confidence,silver_audit
8592,CONFECCION DE BOLOS,CONFECCION DE BOLOS FUNDO RAICES. TOTAL BOLOS 157 EN 25 HA. ,SERVICIOS AGRICOLAS CORPAL SPA,EXP-4.3,EXP-4.2,0.52793,weak_class,manually_audited_near_identical
8608,OCTUBRE,SERVICIO DE CARRO PURINERO CORRESPONDIENTE A ( 36 CARROS X 1,AGRÍCOLA RIBERAS DEL SAUCE SPA,EXP-14.1,EXP-15.5,0.570747,low_confidence,manually_audited_near_identical
8710,Nitrogeno liquido,,ABS CHILE LIMITADA,EXP-16.2,EXP-3.1,0.144139,low_confidence,client_evidence
8717,Nitrogeno liquido,,ABS CHILE LIMITADA,EXP-16.2,EXP-3.1,0.144139,low_confidence,client_evidence
9466,RAPS TORDON 21K -,BRAMADERO,PRESTACIONES DE SERVICIOS AGRICOLAS EL SIERVO LIMITADA,EXP-8.2,EXP-8.4,0.370697,weak_class,silver_audit
9496,EMPANADAS DE HORNO,,MINERVA RUTH ARELLANO VASQUEZ,EXP-16.2,EXP-1.1,0.331086,low_confidence,client_evidence
