row_id,input_id,source_file,period,folio,nro_lin_det,direction,invoice_date,document_type,provider_rut,provider_giro,item_text,description,provider,farm,meter_code,amount,unit_price,xml_document_kind,source,prediction,top1,margin,entropy,decision,reason,top3,model_prediction,model_top1,lookup_conflict,exact_known_truth,exact_known_consistent,risk_flags,evidence_tier,correction
18,COMPRAS|84262528|131|1,DTE_033_000000000131_84262528.xml,2025-01,131,1,COMPRAS,2025-01-24,33,84262528,SUB. GAS/PROVISIONES/CARNICERIA/CONF./EXP CERVEZAS/PENSION/AGRICULTOR,Galón de Gas 45 kgs.,,JULIA IGNACIA FUENTES FLORES,,,84034,84034.00,Documento,silver_audit_backfill,EXP-11.5,0.819685,0.713,0.714312,auto_accept,,EXP-11.5:0.8197;EXP-11.4:0.1067;ADM-1.4:0.0460,EXP-11.5,0.819685,False,,,,silver_audit,recovered
44,COMPRAS|777616161|400|1,DTE_033_000000000400_777616161.xml,2025-01,400,1,COMPRAS,2025-01-31,33,777616161,LABORATORIO DE ANALISIS Y SERVICIOS,Analisis Nirs,Bolos de Ballica - Yutreco x 4 bolo y parva de ballica - Maiten x 9 Bramadero 10 Convenio Javier Silva,ROCK RIVER LABORATORY LIMITADA,,,1058000,46000.00,Documento,silver_audit_backfill,EXP-12.1,0.330413,0.019288,1.722272,auto_accept,,EXP-4.3:0.3304;EXP-4.2:0.3111;EXP-12.1:0.1683,EXP-4.3,0.330413,False,,,,silver_audit,recovered_over_model_disagreement
52,COMPRAS|773568596|468|1,DTE_033_000000000468_773568596.xml,2025-01,468,1,COMPRAS,2025-01-04,33,773568596,AGRICOLA Y PRESTACION SERVICIOS AGRICOLAS,DICIEMBRE LAS RAICES,SERVICIO DE CARO PURINERO CORRESPONDIENTE A (19 CARROS X 10.000 LT Y 11 CARROS X 10.400),AGRÍCOLA RIBERAS DEL SAUCE SPA,,,456600,1.50,Documento,manually_audited_near_identical_backfill,EXP-15.5,0.331975,0.125651,2.503574,auto_accept,,EXP-14.1:0.3320;EXP-13.3:0.2063;ADM-1.4:0.0676,EXP-14.1,0.331975,False,,,,manually_audited_near_identical,recovered_over_model_disagreement
54,COMPRAS|119206855|479|1,DTE_033_000000000479_119206855.xml,2025-01,479,1,COMPRAS,2025-01-04,33,119206855,ASERRADERO PORTATIL MADERAS Y COMERC/PRODUCTOS FORESTALES Y MADERAS,Confección de bolos,,HECTOR ADRIAN VALENZUELA PAREDES,,,22104000,18000.00,Documento,manually_audited_near_identical_backfill,EXP-4.2,0.725961,0.593977,1.048345,auto_accept,,EXP-4.2:0.7260;EXP-4.3:0.1320;EXP-5.4:0.0605,EXP-4.2,0.725961,False,,,,manually_audited_near_identical,recovered
56,COMPRAS|119206855|480|1,DTE_033_000000000480_119206855.xml,2025-01,480,1,COMPRAS,2025-01-04,33,119206855,ASERRADERO PORTATIL MADERAS Y COMERC/PRODUCTOS FORESTALES Y MADERAS,Confección de bolos,,HECTOR ADRIAN VALENZUELA PAREDES,,,2772000,18000.00,Documento,manually_audited_near_identical_backfill,EXP-4.2,0.725961,0.593977,1.048345,auto_accept,,EXP-4.2:0.7260;EXP-4.3:0.1320;EXP-5.4:0.0605,EXP-4.2,0.725961,False,,,,manually_audited_near_identical,recovered
62,COMPRAS|770334063|1125|1,DTE_033_000000001125_770334063.xml,2025-01,1125,1,COMPRAS,2025-01-02,33,770334063,SERVICIOS MECANICOS A DOMICILIO DE MOTOCICLETAS,mantencion trx 520,,MULTIMOTOS OSORNO SPA,,,67227,67226.80,Documento,manually_audited_near_identical_backfill,EXP-13.2,0.275622,0.000383,2.204358,auto_accept,,EXP-13.1:0.2756;EXP-10.1:0.2752;EXP-14.4:0.1345,EXP-13.1,0.275622,False,,,,manually_audited_near_identical,recovered_over_model_disagreement
73,COMPRAS|760726559|2367|1,DTE_033_000000002367_760726559.xml,2025-01,2367,1,COMPRAS,2025-01-27,33,760726559,ASESORIAS AGRICOLAS,CONTROL DE ROEDORES,"PROGRAMA DE CONTROL DE ROEDORES AL PREDIO RAICES, VISITAS REALIZADAS 7/01/2025 HT6415; 21/01/2025 HT6440.",H2 ASESORIAS Y SERVICIOS SPA,,,65000,65000.00,Documento,silver_audit_backfill,EXP-7.0,0.574824,0.347372,1.549189,auto_accept,,EXP-7.0:0.5748;EXP-9.2:0.2275;EXP-10.1:0.0300,EXP-7.0,0.574824,False,,,,silver_audit,recovered
74,COMPRAS|760726559|2368|1,DTE_033_000000002368_760726559.xml,2025-01,2368,1,COMPRAS,2025-01-27,33,760726559,ASESORIAS AGRICOLAS,CONTROL DE ROEDORES,"CONTROL DE ROEDORES PREDIO YUTRECO, VISITAS REALIZADA 8/01/2025 HT6420; 22/01/2025 HT6445.",H2 ASESORIAS Y SERVICIOS SPA,,,60000,60000.00,Documento,silver_audit_backfill,EXP-7.0,0.497315,0.199106,1.611332,auto_accept,,EXP-7.0:0.4973;EXP-9.2:0.2982;EXP-10.1:0.0340,EXP-7.0,0.497315,False,,,,silver_audit,recovered
75,COMPRAS|760726559|2379|1,DTE_033_000000002379_760726559.xml,2025-01,2379,1,COMPRAS,2025-01-29,33,760726559,ASESORIAS AGRICOLAS,CONTROL DE ROEDORES,"PROGRAMA DE CONTROL DE ROEDORES PREDIO BRAMADERO, VISITAS REALIZADAS 15/01/2025 HT6433; 29/01/2025 HT6460.",H2 ASESORIAS Y SERVICIOS SPA,,,61500,61500.00,Documento,silver_audit_backfill,EXP-7.0,0.549034,0.327249,1.668509,auto_accept,,EXP-7.0:0.5490;EXP-9.2:0.2218;EXP-10.1:0.0327,EXP-7.0,0.549034,False,,,,silver_audit,recovered
76,COMPRAS|760726559|2380|1,DTE_033_000000002380_760726559.xml,2025-01,2380,1,COMPRAS,2025-01-29,33,760726559,ASESORIAS AGRICOLAS,CONTROL DE ROEDORES,"PROGRAMA DE CONTROL DE ROEDORES AL PREDIO EL MAITEN, VISITAS REALIZADAS 15/01/2025 HT6434; 29/01/2025 HT6461.",H2 ASESORIAS Y SERVICIOS SPA,,,154500,154500.00,Documento,silver_audit_backfill,EXP-7.0,0.548576,0.318319,1.640642,auto_accept,,EXP-7.0:0.5486;EXP-9.2:0.2303;ADM-1.6:0.0311,EXP-7.0,0.548576,False,,,,silver_audit,recovered
