row_id,item_text,description,provider,silver_label,model_prediction,top1,top3
35,CONFECCION BOLOS PELLECO,,AGRÍCOLA J-S-E LIMITADA,EXP-4.3,EXP-4.3,0.668437,client uses ['EXP-4.2'] for this supplier
36,CORTE DE LIMPIEZA,,AGRÍCOLA J-S-E LIMITADA,EXP-14.1,EXP-14.1,0.440965,client uses ['EXP-4.2'] for this supplier
93,Mipro Pastoreo,//FUNDO MAITEN G/6986 y 6999,SANO - NUTRICION ANIMAL MODERNA SPA,EXP-5.1,EXP-5.1,0.691011,client uses ['EXP-2.4'] for this supplier
94,Mipro Pastoreo,//FUNDO YUTRECO G/7003,SANO - NUTRICION ANIMAL MODERNA SPA,EXP-5.1,EXP-5.1,0.685321,client uses ['EXP-2.4'] for this supplier
424,SULFATO COBRE 1 KG. -____,____,FEROSOR AGRICOLA S.A.,EXP-7.0,EXP-7.0,0.179461,"client uses ['EXP-11.3', 'EXP-13.3', 'EXP-16.1', 'EXP-2.2', 'EXP-2.4', 'EXP-2.5', 'EXP-5.2'] for this supplier"
427,SULFATO COBRE 1 KG. -____,____,FEROSOR AGRICOLA S.A.,EXP-7.0,EXP-7.0,0.179461,"client uses ['EXP-11.3', 'EXP-13.3', 'EXP-16.1', 'EXP-2.2', 'EXP-2.4', 'EXP-2.5', 'EXP-5.2'] for this supplier"
552,REPUESTOS MANTENCION ESTANQUE PREDIAL,REPUESTOS MANTENCION ESTANQUE PREDIAL,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,EXP-10.1,EXP-10.1,0.511092,"client uses ['EXP-11.3', 'EXP-11.4', 'EXP-12.2', 'EXP-13.1', 'EXP-14.2', 'EXP-14.3', 'EXP-16.1', 'EXP-16.2', 'EXP-2.1', 'EXP-2.2', 'EXP-2.3', 'EXP-2.4', 'EXP-2.5', 'EXP-2.6', 'EXP-3.1', 'EXP-4.1', 'EXP-5.2', 'EXP-5.3', 'EXP-5.5', 'EXP-6.2', 'EXP-7.0', 'EXP-8.1', 'EXP-8.2'] for this supplier"
755,CORTE DE LIMPIEZA,,AGRÍCOLA J-S-E LIMITADA,EXP-14.1,EXP-14.1,0.440965,client uses ['EXP-4.2'] for this supplier
759,CORTE DE LIMPIEZA,,AGRÍCOLA J-S-E LIMITADA,EXP-14.1,EXP-14.1,0.440965,client uses ['EXP-4.2'] for this supplier
760,DESCARGA DE MAXIS,,AGRÍCOLA J-S-E LIMITADA,EXP-9.2,EXP-9.2,0.632814,client uses ['EXP-4.2'] for this supplier
762,CONFECCION BOLOS PELLECO,,AGRÍCOLA J-S-E LIMITADA,EXP-4.3,EXP-4.3,0.668437,client uses ['EXP-4.2'] for this supplier
1432,Intereses Exentos,,"RUTA DEL MAIPO SOCIEDAD CONCESIONARIA, S.A.",ADM-1.4,ADM-1.7,0.70955,ADM-1.7:0.7096;EXP-15.1:0.0679;ADM-1.5:0.0585
1479,FERTILIZACION MULPULMO,,AGRÍCOLA J-S-E LIMITADA,EXP-6.5,EXP-6.5,0.47281,client uses ['EXP-4.2'] for this supplier
1480,INCORPORADOR,,AGRÍCOLA J-S-E LIMITADA,EXP-15.5,EXP-15.5,0.536896,client uses ['EXP-4.2'] for this supplier
