candidate_id,item_text,description,provider,giro,source,source_file,folio,siblings,top1_conf,audited,verdict,audit_reason
OQ-00154,MUESTREO ADICIONAL,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,"CRIA DE GANADO Y BOVINO, ESTACION SERV.",COMPRAS,DTE_033_000005072370_823926006.xml,5072370,VACAS EN CONTROL; CUOTA CONTROL LECHERO OFICIAL,0.7500,Y,EXP-12.2,Additional sampling with siblings vacas en control + cuota control lechero = herd testing
OQ-00164,SELENIO (SE) SUERO,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,"CRIA DE GANADO Y BOVINO, ESTACION SERV.",COMPRAS,DTE_033_000005069701_823926006.xml,5069701,GOT (ASAT) SUERO; GAMMA GLUTAMIL TRANSFERASA (GGT) SUERO; FOSFORO (P) SUERO; COBRE (CU) SUERO; ZINC (ZN) SUERO; COLESTEROL SUERO,0.9000,Y,EXP-12.2,"Serum biochemical panel (Se, GOT, GGT, P, Cu, Zn, Cholesterol, BHB) = cattle metabolic testing"
OQ-00176,E. COLI EN AGUA,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,"CRIA DE GANADO Y BOVINO, ESTACION SERV.",COMPRAS,DTE_061_000000149066_823926006.xml,149066,ENTEROCOCOS EN AGUA; AGUA PABCO 1,0.9500,Y,EXP-12.2,E.coli+enterococos water tests with AGUA PABCO 1 = biosecurity water testing for PABCO program
OQ-00178,COLESTEROL SUERO,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,"CRIA DE GANADO Y BOVINO, ESTACION SERV.",COMPRAS,DTE_033_000005069701_823926006.xml,5069701,GOT (ASAT) SUERO; SELENIO (SE) SUERO; GAMMA GLUTAMIL TRANSFERASA (GGT) SUERO; FOSFORO (P) SUERO; COBRE (CU) SUERO; ZINC (ZN) SUERO,0.9500,Y,EXP-12.2,"Blood serum analysis (colesterol, minerals) in cattle cooperative; siblings confirm animal panel."
OQ-00179,NEOSPOROSIS ELISA SUERO,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,"CRIA DE GANADO Y BOVINO, ESTACION SERV.",COMPRAS,DTE_033_000004943563_823926006.xml,4943563,DIARREA VIRAL BOVINA AC ELISA SUERO; IBR IgE; ANALISIS DE LEPTOSPIRA,0.9500,Y,EXP-12.2,ELISA serology for Neospora; siblings IBR/Leptospira/BVD confirm infectious disease diagnostic panel.
OQ-00200,LEUCOSIS ELISA SUERO POOL 10 MUESTRAS,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,"CRIA DE GANADO Y BOVINO, ESTACION SERV.",COMPRAS,DTE_033_000005173219_823926006.xml,5173219,BRUCELOSIS (ROSA DE BENGALA),0.8000,Y,EXP-12.2,Bovine leukosis ELISA serology test; sibling=Brucelosis; both are animal disease diagnostics.
OQ-00216,BOH BUTIRATO SUERO,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,"CRIA DE GANADO Y BOVINO, ESTACION SERV.",COMPRAS,DTE_033_000005069701_823926006.xml,5069701,GOT (ASAT) SUERO; SELENIO (SE) SUERO; GAMMA GLUTAMIL TRANSFERASA (GGT) SUERO; FOSFORO (P) SUERO; COBRE (CU) SUERO; ZINC (ZN) SUERO,0.9500,Y,EXP-12.2,Beta-hydroxybutyrate (ketosis marker) serum test; siblings confirm animal blood chemistry panel.
OQ-01863,Mg Ca Pi 86513 86623,,LABORATORIOS Y SERVICIOS VETERINARIOS VALDIVIA LTDA,LABORATORIO Y SERVICIOS VETERINARIOS,COMPRAS,DTE_033_000000010479_776282901.xml,10479,AST GGT GLDH 86630; Mg Ca Pi 86630; NEFAs (PM) 86632; Na CL K 86632; HEMOGRAMA 86683; BHB 86684,0.9000,N,,
OQ-01864,AST GGT GLDH 86630,,LABORATORIOS Y SERVICIOS VETERINARIOS VALDIVIA LTDA,LABORATORIO Y SERVICIOS VETERINARIOS,COMPRAS,DTE_033_000000010479_776282901.xml,10479,Mg Ca Pi 86513 86623; Mg Ca Pi 86630; NEFAs (PM) 86632; Na CL K 86632; HEMOGRAMA 86683; BHB 86684,0.9000,N,,
OQ-01865,Mg Ca Pi 86630,,LABORATORIOS Y SERVICIOS VETERINARIOS VALDIVIA LTDA,LABORATORIO Y SERVICIOS VETERINARIOS,COMPRAS,DTE_033_000000010479_776282901.xml,10479,Mg Ca Pi 86513 86623; AST GGT GLDH 86630; NEFAs (PM) 86632; Na CL K 86632; HEMOGRAMA 86683; BHB 86684,0.9000,N,,
