candidate_id,item_text,description,provider,giro,source,source_file,folio,siblings,top1_conf,audited,verdict,audit_reason
OQ-00144,INSTALACION DE LAVADORA,EN SALA DE ORDEÑA,SERVICIOS DE MANTENCIÓN DOMICILIARIA NONTUELA SPA,SERVICIOS DE REPARACIÓN Y MANTENCIONES DOMICILIARIAS,COMPRAS,DTE_033_000000000079_77801937K.xml,79,INSTALACION DE LAVADORA - EN SALA DE ORDEÑA,0.6500,Y,EXP-10.1,Explicit installation of washing machine in sala de ordena (milking parlor)
OQ-00228,REPUESTOS MANTENCION ESTANQUE PREDIAL,REPUESTOS MANTENCION ESTANQUE PREDIAL,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,FABR. Y DIST.PROD.LACTEOS VTAS. INSAGRIC,COMPRAS,DTE_033_000028919440_810941006.xml,28919440,REPUESTOS MANTENCION ESTANQUE PREDIAL - REPUESTOS MANTENCION ESTANQUE PREDIAL,0.6500,Y,EXP-10.1,Spare parts for milk tank maintenance from Colun; client hint confirms estanques->EXP-10.1.
OQ-01075,-Juego de servicio - Gestion de leche (C)var.,,GEA Farm Technologies Osorno Ltda.,"INSTALACION,MANTENCION,REPARACION MAQUINARIA AGROPECUARIA,FORESTAL",COMPRAS,DTE_033_000000024856_761757865.xml,24856,"JUEGO DE SERVICIO-TRANSPORTE DE LECHE(C) VAR M.RECEIVER FLOAT SWITCH; KIT SER 1500H VAL AUT PURGA 50 MM; KIT SERV 4500 H VALVULA RETENCION BBA LECHE 1.5 KW; JUEGO FILTROS DE AIRE VACUREX; FILTRO PULSADOR AUTOP/STIMOP/SIMPLE; KIT PULSADOR/4500 H, STIMOPULS/AUTOPULS APEX",0.8000,N,,
OQ-01617,ANALISIS BACTERIOLOGICO,,GEA Farm Technologies Osorno Ltda.,"INSTALACION,MANTENCION,REPARACION MAQUINARIA AGROPECUARIA,FORESTAL",COMPRAS,DTE_033_000000025930_761757865.xml,25930,VIAJE TECNICO; HORA TECNICA FA; CORREA 3VX-530; SERVICIO EMERGENCIA FA,0.9000,N,,
OQ-01644,PIOLA PERLON 4MM DE ALTA RESISTENCIA,,GEA Farm Technologies Osorno Ltda.,"INSTALACION,MANTENCION,REPARACION MAQUINARIA AGROPECUARIA,FORESTAL",COMPRAS,DTE_033_000000024856_761757865.xml,24856,"JUEGO DE SERVICIO-TRANSPORTE DE LECHE(C) VAR M.RECEIVER FLOAT SWITCH; KIT SER 1500H VAL AUT PURGA 50 MM; KIT SERV 4500 H VALVULA RETENCION BBA LECHE 1.5 KW; JUEGO FILTROS DE AIRE VACUREX; FILTRO PULSADOR AUTOP/STIMOP/SIMPLE; KIT PULSADOR/4500 H, STIMOPULS/AUTOPULS APEX",0.8000,N,,
OQ-01645,CASQUILLO DE QUITA Y PON N3(10pcs),,GEA Farm Technologies Osorno Ltda.,"INSTALACION,MANTENCION,REPARACION MAQUINARIA AGROPECUARIA,FORESTAL",COMPRAS,DTE_033_000000024726_761757865.xml,24726,COLLAR CON CIERRE L1350 COW 10 PCS,0.8500,N,,
OQ-01646,NIPLE BASE PULSADOR,,GEA Farm Technologies Osorno Ltda.,"INSTALACION,MANTENCION,REPARACION MAQUINARIA AGROPECUARIA,FORESTAL",COMPRAS,DTE_033_000000024863_761757865.xml,24863,"FJX 6-8 TERMINAL RECTO ESPIGA PARA MANGA 3/8; FJX90 6-8 TERMINAL CURVO ESPIGA PARA MANGA 3/8; FERRUL 3/8; FITING PVC; TUBULADORA PARA MANGAS 1/2 INCH BARB X BARD (P1200); JUEGO DE SERVICIO-GESTION DE LECHE(C)VAR.,APEX CONTROL VALVE",0.9500,Y,EXP-10.1,2step_review
OQ-01650,KIT DE SERVICIO-MANEJO DE LA LECHE VAR.EasyStart,,GEA Farm Technologies Osorno Ltda.,"INSTALACION,MANTENCION,REPARACION MAQUINARIA AGROPECUARIA,FORESTAL",COMPRAS,DTE_033_000000024760_761757865.xml,24760,REPARACION EASY STAR; GRASA LUBRICANTE EASY START 400 G; GUARDACABOS PLASTICO; GUARNICION DE GOMA CILINDRO NUEVO; MOSQUETON; OJETE PROTECTOR CONTRA TRACCION,0.9500,Y,EXP-10.1,2step_review
OQ-01651,SPRAY DESLIZANTE,,GEA Farm Technologies Osorno Ltda.,"INSTALACION,MANTENCION,REPARACION MAQUINARIA AGROPECUARIA,FORESTAL",COMPRAS,DTE_033_000000024758_761757865.xml,24758,JUEGO PEZONERAS MONOBLOCK; JUEGO DE SERVICIO-JUEGO DE ORDENO(C) VAR CLASSIC 300 W/O; TAPA COLECTOR 300 CC. SIN CIERRE; MANGA DE LECHE 16 MM. SILICONA-MT.; MANGA DOBLE VACIO TRANSP./MT.; TUBO CORTO VACIO WESTFALIA,0.9500,Y,EXP-10.1,2step_review
OQ-01655,JUEGO DE SERVICIO-TRANSPORTE DE LECHE(C) VAR SANITARY TRAP 22,,GEA Farm Technologies Osorno Ltda.,"INSTALACION,MANTENCION,REPARACION MAQUINARIA AGROPECUARIA,FORESTAL",COMPRAS,DTE_033_000000024758_761757865.xml,24758,JUEGO PEZONERAS MONOBLOCK; JUEGO DE SERVICIO-JUEGO DE ORDENO(C) VAR CLASSIC 300 W/O; TAPA COLECTOR 300 CC. SIN CIERRE; MANGA DE LECHE 16 MM. SILICONA-MT.; MANGA DOBLE VACIO TRANSP./MT.; SPRAY DESLIZANTE,0.9500,Y,EXP-10.1,2step_review
OQ-01656,CHAPALETA BOMBA DE LECHE 1.1/1.5,,GEA Farm Technologies Osorno Ltda.,"INSTALACION,MANTENCION,REPARACION MAQUINARIA AGROPECUARIA,FORESTAL",COMPRAS,DTE_033_000000024341_761757865.xml,24341,VIAJE TECNICO; HORA TECNICA JM; HORA TECNICA CAL,0.9500,Y,EXP-10.1,2step_review
OQ-01658,SELLO DEL CUERPO ICIP PARA LA COPA DE GOMA Y EL CORTADOR DE CLIPS,,GEA Farm Technologies Osorno Ltda.,"INSTALACION,MANTENCION,REPARACION MAQUINARIA AGROPECUARIA,FORESTAL",COMPRAS,DTE_033_000000024780_761757865.xml,24780,"COPA DE GOMA JETTER CUP MILFOS 44 ICIP; JUNTA TORICA DE CODO ICIP; CHEMICAL PUMP SQUEEZE TUBE 5/8 EPDM &amp; CLIPS; CORREA BX-62; ACEITE BOMBAS RPL 1 L.OMEGA FLUID M220; LOBE BLAST 4,75 LT (DETERGENTE BOMBA CL)",0.9500,Y,EXP-10.1,2step_review
OQ-01659,JUNTA PERFILADA P/DEPOSITO VACIO 30,,GEA Farm Technologies Osorno Ltda.,"INSTALACION,MANTENCION,REPARACION MAQUINARIA AGROPECUARIA,FORESTAL",COMPRAS,DTE_033_000000024760_761757865.xml,24760,KIT DE SERVICIO-MANEJO DE LA LECHE VAR.EasyStart; REPARACION EASY STAR; GRASA LUBRICANTE EASY START 400 G; GUARDACABOS PLASTICO; GUARNICION DE GOMA CILINDRO NUEVO; MOSQUETON,0.9500,Y,EXP-10.1,2step_review
OQ-01671,DISTRIBUIDOR DE AIRE DEL COLECTOR,,GEA Farm Technologies Osorno Ltda.,"INSTALACION,MANTENCION,REPARACION MAQUINARIA AGROPECUARIA,FORESTAL",COMPRAS,DTE_033_000000024988_761757865.xml,24988,,0.9500,Y,EXP-10.1,2step_review
OQ-01674,MANGA DE LECHE 16 MM. SILICONA-MT.,,GEA Farm Technologies Osorno Ltda.,"INSTALACION,MANTENCION,REPARACION MAQUINARIA AGROPECUARIA,FORESTAL",COMPRAS,DTE_033_000000024758_761757865.xml,24758,JUEGO PEZONERAS MONOBLOCK; JUEGO DE SERVICIO-JUEGO DE ORDENO(C) VAR CLASSIC 300 W/O; TAPA COLECTOR 300 CC. SIN CIERRE; MANGA DOBLE VACIO TRANSP./MT.; SPRAY DESLIZANTE; TUBO CORTO VACIO WESTFALIA,0.9500,Y,EXP-10.1,2step_review
OQ-01675,JUEGO DE SERVICIO-TRANSPORTE DE LECHE(C) VAR RECEIVER COVER,,GEA Farm Technologies Osorno Ltda.,"INSTALACION,MANTENCION,REPARACION MAQUINARIA AGROPECUARIA,FORESTAL",COMPRAS,DTE_033_000000024758_761757865.xml,24758,JUEGO PEZONERAS MONOBLOCK; JUEGO DE SERVICIO-JUEGO DE ORDENO(C) VAR CLASSIC 300 W/O; TAPA COLECTOR 300 CC. SIN CIERRE; MANGA DE LECHE 16 MM. SILICONA-MT.; MANGA DOBLE VACIO TRANSP./MT.; SPRAY DESLIZANTE,0.9500,Y,EXP-10.1,2step_review
OQ-01676,TAPA CILINDRO ELEVADOR FRONTAL,,GEA Farm Technologies Osorno Ltda.,"INSTALACION,MANTENCION,REPARACION MAQUINARIA AGROPECUARIA,FORESTAL",COMPRAS,DTE_033_000000024862_761757865.xml,24862,"BOTON PULSADOR C/CAPUCHON 22MM ROJO; CABLE CORDON FLEXIBLE 3X0,75 MM; BASE DESPICHE 50 MM.; TUBO CORTO LECHE COLEC. 300 C.C.; ORING RACOR 50 MM.; TAPA FRONTAL METATRON S21",0.9500,Y,EXP-10.1,2step_review
OQ-01677,RETENEDOR DE COPA DE GOMA ICIP,,GEA Farm Technologies Osorno Ltda.,"INSTALACION,MANTENCION,REPARACION MAQUINARIA AGROPECUARIA,FORESTAL",COMPRAS,DTE_033_000000025106_761757865.xml,25106,FILTRO DE ESPUMA 180*15 DISCO AIRJET; VIAJE TECNICO; HORA TECNICA FA; SERVICIO EMERGENCIA CAL,0.9400,N,,
OQ-01678,GUARNICION DE GOMA CILINDRO NUEVO,,GEA Farm Technologies Osorno Ltda.,"INSTALACION,MANTENCION,REPARACION MAQUINARIA AGROPECUARIA,FORESTAL",COMPRAS,DTE_033_000000024760_761757865.xml,24760,KIT DE SERVICIO-MANEJO DE LA LECHE VAR.EasyStart; REPARACION EASY STAR; GRASA LUBRICANTE EASY START 400 G; GUARDACABOS PLASTICO; MOSQUETON; OJETE PROTECTOR CONTRA TRACCION,0.9300,N,,
OQ-01679,FILTRO LECHE 60 MM * 455 - 370 UN,,GEA Farm Technologies Osorno Ltda.,"INSTALACION,MANTENCION,REPARACION MAQUINARIA AGROPECUARIA,FORESTAL",COMPRAS,DTE_033_000000024835_761757865.xml,24835,FULLDIP 5000 PROMOCION 230 KG; ZINICIN 70 KGS.; SOLUTION 60 LTS; ORACID 60 L,0.9200,N,,
OQ-01681,TAPA DE VALV.DESCARGA/CIERRE/PURGA,,GEA Farm Technologies Osorno Ltda.,"INSTALACION,MANTENCION,REPARACION MAQUINARIA AGROPECUARIA,FORESTAL",COMPRAS,DTE_033_000000024863_761757865.xml,24863,FJX 6-8 TERMINAL RECTO ESPIGA PARA MANGA 3/8; FJX90 6-8 TERMINAL CURVO ESPIGA PARA MANGA 3/8; FERRUL 3/8; FITING PVC; TUBULADORA PARA MANGAS 1/2 INCH BARB X BARD (P1200); NIPLE BASE PULSADOR,0.8500,N,,
OQ-01683,PISTON CILINDRO PUERTA,,GEA Farm Technologies Osorno Ltda.,"INSTALACION,MANTENCION,REPARACION MAQUINARIA AGROPECUARIA,FORESTAL",COMPRAS,DTE_033_000000024761_761757865.xml,24761,GRASA LUBRICANTE EASY START 400 G; ORING TAPA CILINDRO PUERTA; RETEN VASTAGO CILINDRO PUERTA; MEMBRANA VISOFLOW METATRON; SELECTOR ABB 2 POSICIONES 1NA C2SS2-10B-10 COMPACTO; Kit pulsador / 1500 h Pulsador Apex M,0.8000,N,,
OQ-01685,JUNTA VASO METATRON,,GEA Farm Technologies Osorno Ltda.,"INSTALACION,MANTENCION,REPARACION MAQUINARIA AGROPECUARIA,FORESTAL",COMPRAS,DTE_033_000000024862_761757865.xml,24862,"BOTON PULSADOR C/CAPUCHON 22MM ROJO; CABLE CORDON FLEXIBLE 3X0,75 MM; BASE DESPICHE 50 MM.; TAPA CILINDRO ELEVADOR FRONTAL; TUBO CORTO LECHE COLEC. 300 C.C.; ORING RACOR 50 MM.",0.8500,N,,
OQ-01693,HELICE DE BOMBA LECHE 1.1 KW,,GEA Farm Technologies Osorno Ltda.,"INSTALACION,MANTENCION,REPARACION MAQUINARIA AGROPECUARIA,FORESTAL",COMPRAS,DTE_033_000000024758_761757865.xml,24758,JUEGO PEZONERAS MONOBLOCK; JUEGO DE SERVICIO-JUEGO DE ORDENO(C) VAR CLASSIC 300 W/O; TAPA COLECTOR 300 CC. SIN CIERRE; MANGA DE LECHE 16 MM. SILICONA-MT.; MANGA DOBLE VACIO TRANSP./MT.; SPRAY DESLIZANTE,0.9500,Y,EXP-10.1,2step_review
